Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
165,Meaghan Nally\4d1202ca,us USA,DF,Thorns,22,1998,3,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
166,Katie Naughton\fa5e9ae1,us USA,DF,Dash,26,1994,24,24,2160,24.0,3,0,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
167,Carly Nelson\e8b6acbb,,GK,Kansas City,,,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
168,Paige Nielsen\2a0f0a55,us USA,DF,Spirit,27,1993,16,13,1046,11.6,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches
169,Maddie Nolf\bb31e506,us USA,DF,Kansas City,24,1996,4,2,178,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Kelley O'Hara\5ebefe20,us USA,DF,Spirit,32,1988,14,12,1078,12.0,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches
171,Denise O'Sullivan\2f3ffc2d,ie IRL,MF,Courage,26,1994,23,23,1957,21.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Emily Ogle\d2a21f98,us USA,MF,Dash,24,1996,8,5,476,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
173,Freja Olofsson\6ce1049b,se SWE,MFDF,Louisville,22,1998,22,20,1708,19.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Ifeoma Onumonu\6d1e0c6b,ng NGA,FW,Gotham FC,26,1994,24,21,1788,19.9,8,4,8,0,0,3,0,0.40,0.20,0.60,0.40,0.60,Matches
175,Taylor Otto\d4cf6b21,us USA,MF,Louisville,23,1997,9,3,368,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
176,Megan Oyster\8f11092f,us USA,DF,Dash,28,1992,21,17,1555,17.3,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
177,Courtney Petersen\05d6a62d,us USA,DF,Pride,23,1997,22,21,1875,20.8,1,4,1,0,0,2,0,0.05,0.19,0.24,0.05,0.24,Matches
178,Carson Pickett\61531e4e,us USA,DF,Courage,27,1993,24,24,2145,23.8,0,5,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches
179,Kiara Pickett\938dc3a8,us USA,DF,Kansas City,21,1999,16,13,1246,13.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
180,Victoria Pickett\28197d4c,ca CAN,MF,Kansas City,24,1996,19,16,1500,16.7,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
181,Brianna Pinto\57045f36,us USA,MF,Gotham FC,20,2000,10,0,204,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
182,Konya Plummer\cb4727f2,jm JAM,DF,Pride,23,1997,3,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
183,Madison Pogarch\78d285e6,us USA,DF,Thorns,23,1997,15,1,294,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Taylor Porter\3fd67fb6,us USA,MF,Thorns,23,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
185,Toni Pressley\3d2972d6,us USA,DF,Pride,30,1990,11,4,430,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
186,Nichelle Prince\9c06c97c,ca CAN,FWMF,Dash,25,1995,16,16,1413,15.7,2,3,2,0,0,3,0,0.13,0.19,0.32,0.13,0.32,Matches
187,Ally Prisock\fb42a249,us USA,DF,Dash,24,1997,6,5,382,4.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
188,Cami Privett\484c8938,us USA,MF,Dash,27,1993,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
189,Leah Pruitt\6b0e56d4,us USA,FW,Reign,23,1997,11,3,345,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
190,Mallory Pugh\70b0fd86,us USA,MFFW,Red Stars,22,1998,23,22,1933,21.5,4,4,4,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches
191,Margaret Purce\c94c70bc,us USA,FWMF,Gotham FC,25,1995,17,17,1380,15.3,9,1,8,1,1,4,0,0.59,0.07,0.65,0.52,0.59,Matches
192,Quinn\beede7f7,ca CAN,MF,Reign,25,1995,12,8,724,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Andrea Rán Hauksdóttir\01e11f77,is ISL,MF,Dash,25,1996,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
194,Megan Rapinoe\8b7ddf10,us USA,FWMF,Reign,35,1985,11,8,724,8.0,6,2,2,4,4,0,0,0.75,0.25,0.99,0.25,0.50,Matches
195,Brittany Ratcliffe\34603a7a,us USA,MFFW,Courage,26,1994,12,2,260,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
196,Domi Richardson\0c294f61,us USA,DFMF,Gotham FC,28,1992,7,0,136,1.5,1,0,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66,Matches
197,Kaleigh Riehl\c99616d8,us USA,DFMF,Louisville,24,1996,21,19,1684,18.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
198,Ali Riley\c65fc5cf,nz NZL,DF,Pride,33,1987,20,18,1550,17.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
199,Parker Roberts\303cf6f1,us USA,MF,Pride,23,1997,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
200,Cari Roccaro\56f16bc7,us USA,MFFW,Courage,26,1994,23,10,975,10.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
201,Julia Roddar\917838ed,se SWE,MFDF,Spirit,28,1992,14,8,680,7.6,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
202,Trinity Rodman\5c975b9a,us USA,MFFW,Spirit,18,2002,22,19,1722,19.1,6,5,6,0,0,4,0,0.31,0.26,0.57,0.31,0.57,Matches
203,Amy Rodriguez\3bc75a1a,us USA,MFFW,Courage,33,1987,14,11,906,10.1,3,0,2,1,1,1,0,0.30,0.00,0.30,0.20,0.20,Matches
204,Amy Rodriguez\3bc75a1a,us USA,FW,Kansas City,33,1987,10,9,798,8.9,2,0,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
205,Karina Rodriguez\da039d06,mx MEX,DF,Spirit,21,1999,4,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
206,Raquel Rodríguez\362b4969,cr CRC,MF,Thorns,27,1993,22,19,1721,19.1,2,2,1,1,2,2,0,0.10,0.10,0.21,0.05,0.16,Matches
207,Maegan Rosa\1f3379cf,ca CAN,FW,Dash,28,1992,4,2,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Katelyn Rowland\01ec0220,us USA,GK,Kansas City,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
209,Katelyn Rowland\01ec0220,us USA,GK,Courage,26,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
210,Yazmeen Ryan\22502cce,us USA,MF,Thorns,21,1999,10,1,280,3.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
211,Angela Salem\3ad6a01a,us USA,MF,Thorns,32,1988,23,21,1774,19.7,2,1,2,0,0,2,0,0.10,0.05,0.15,0.10,0.15,Matches
212,Ebony Salmon\63667d66,eng ENG,FW,Louisville,20,2001,20,14,1236,13.7,6,1,6,0,0,2,0,0.44,0.07,0.51,0.44,0.51,Matches
213,Ashley Sanchez\9ced946b,us USA,MFFW,Spirit,21,1999,22,21,1816,20.2,4,0,4,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
214,Maria Sanchez\bd325738,mx MEX,FW,Dash,24,1996,3,2,169,1.9,1,0,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches
215,Becky Sauerbrunn\d2612e86,us USA,DFMF,Thorns,35,1985,16,15,1325,14.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
216,Sophie Schmidt\e8f90dc9,ca CAN,MF,Dash,32,1988,18,17,1401,15.6,0,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
217,Desiree Scott\38c57ecb,ca CAN,MFDF,Kansas City,33,1987,12,11,904,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
218,Gabby Seiler\51b6c880,us USA,MF,Dash,26,1994,24,15,1462,16.2,2,0,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
219,Kayla Sharples\0ba36ee8,us USA,DF,Red Stars,23,1997,14,12,1079,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
220,Delanie Sheehan\ef032510,us USA,FW,Gotham FC,22,1999,6,2,260,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches
221,Kailen Sheridan\46b237d3,ca CAN,GK,Gotham FC,25,1995,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
222,Jéssica Silva\cd6a0894,pt POR,FWMF,Kansas City,26,1994,14,5,551,6.1,0,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
223,Erin Simon\99b8bc28,us USA,DF,Louisville,26,1994,21,18,1342,14.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
224,Christine Sinclair\8d7667f4,ca CAN,FWMF,Thorns,37,1983,15,15,1234,13.7,5,1,3,2,4,0,0,0.36,0.07,0.44,0.22,0.29,Matches
225,Erica Skroski\f365adb4,us USA,DF,Gotham FC,26,1994,11,7,565,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
226,Abby Smith\947d22fb,us USA,GK,Kansas City,27,1993,6,6,529,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
227,Sophia Smith\a4568174,us USA,FWMF,Thorns,20,2000,21,16,1435,15.9,7,1,7,0,0,1,0,0.44,0.06,0.50,0.44,0.50,Matches
228,Taylor Smith\97f414ac,us USA,MF,Courage,27,1993,12,1,225,2.5,0,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches
229,Lee So-dam\af9a233a,kr KOR,MF,Gotham FC,26,1994,14,5,571,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
230,Havana Solaun\0b5d0282,jm JAM,MF,Courage,27,1993,19,14,1247,13.9,1,0,1,0,0,2,1,0.07,0.00,0.07,0.07,0.07,Matches
231,Emily Sonnett\08acd418,us USA,DF,Spirit,27,1993,15,14,1261,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
232,Meredith Speck\3ed16dcd,us USA,MF,Courage,27,1993,18,8,848,9.4,3,1,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,Matches
233,Mariana Speckmaier\ce77fcdb,ve VEN,FW,Spirit,23,1997,3,0,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
234,Jasmyne Spencer\504f99ae,us USA,FWDF,Dash,30,1990,18,9,876,9.7,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
235,Bianca St Georges\271e0873,ca CAN,DF,Red Stars,23,1997,3,1,160,1.8,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches
236,Samantha Staab\9b763275,us USA,DF,Spirit,23,1997,22,22,1893,21.0,1,1,1,0,0,1,1,0.05,0.05,0.10,0.05,0.10,Matches
237,Nikki Stanton\ff322b25,us USA,MF,Red Stars,30,1990,13,1,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Katie Stengel\78078a19,us USA,FW,Dash,28,1992,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
239,Ella Stevens\268a4e22,us USA,MF,Red Stars,23,1997,5,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
240,Kylie Strom\7f140cb9,us USA,DF,Pride,28,1992,9,4,351,3.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
241,Raisa Strom-Okimoto\9ece0fc4,us USA,FW,Thorns,23,1997,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
242,Andi Sullivan\7e19bccd,us USA,MF,Spirit,25,1995,19,19,1640,18.2,2,3,0,2,2,4,1,0.11,0.16,0.27,0.00,0.16,Matches
243,Saori Takarada\602ba0c3,jp JPN,MFDF,Spirit,21,1999,8,6,392,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
244,Jodie Taylor\dc02c40a,eng ENG,FWMF,Pride,34,1986,13,13,951,10.6,3,1,3,0,0,3,0,0.28,0.09,0.38,0.28,0.38,Matches
245,Gaëtane Thiney\8a91b0e9,fr FRA,MFFW,Gotham FC,35,1985,12,8,575,6.4,2,0,2,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches
246,Crystal Thomas\c45765e1,us USA,MF,Pride,27,1994,9,3,306,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
247,Phallon Tullis-Joyce\3cbb2e2c,us USA,GK,Reign,24,1996,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
248,Amy Turner\a21edf38,eng ENG,DF,Pride,29,1991,14,12,1105,12.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
249,Erika Tymrak\8443ab57,us USA,MF,Pride,29,1991,20,6,587,6.5,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,Matches
250,Michele Vasconcelos\64a66c52,us USA,MF,Kansas City,26,1994,10,3,449,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
251,Evelyne Viens\5805fc7c,ca CAN,FW,Gotham FC,23,1997,13,3,319,3.5,0,3,0,0,0,1,0,0.00,0.85,0.85,0.00,0.85,Matches
252,Marisa Viggiano\2021c04f,us USA,MF,Pride,23,1997,21,14,1231,13.7,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
253,Gaby Vincent\33c8836b,us USA,MF,Kansas City,23,1997,16,11,974,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
254,Brianna Visalli\bbdfa558,us USA,FWMF,Dash,25,1995,16,9,730,8.1,2,1,2,0,0,2,0,0.25,0.12,0.37,0.25,0.37,Matches
255,Chelsee Washington\1a283251,us USA,MFFW,Pride,23,1997,10,2,211,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
256,Ally Watt\56d5fb23,us USA,FW,Reign,23,1997,4,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
257,Kealia Watt\0524b8ce,us USA,FWMF,Red Stars,29,1992,24,22,1889,21.0,5,4,5,0,0,4,0,0.24,0.19,0.43,0.24,0.43,Matches
258,Dani Weatherholt\442d8200,us USA,MF,Reign,26,1994,19,11,1029,11.4,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches
259,Morgan Weaver\a244d14b,us USA,FW,Thorns,23,1997,19,12,1112,12.4,1,3,1,0,0,0,0,0.08,0.24,0.32,0.08,0.32,Matches
260,Mallory Weber\c80112bf,us USA,DFMF,Kansas City,26,1994,19,14,1239,13.8,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
261,Christen Westphal\274666f1,us USA,DF,Thorns,27,1993,15,10,786,8.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
262,Rosie White\3d580186,nz NZL,MF,Reign,27,1993,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
263,Lynn Williams\0ac84745,us USA,FW,Courage,27,1993,17,17,1484,16.5,7,2,7,0,1,1,0,0.42,0.12,0.55,0.42,0.55,Matches
264,Ryan Williams\787e8bfd,us USA,MFDF,Courage,24,1996,17,2,354,3.9,0,2,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51,Matches
265,Sarah Woldmoe\fc112dbc,us USA,MF,Red Stars,28,1992,21,19,1664,18.5,2,0,2,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
266,Arin Wright\2b0527c9,us USA,DF,Red Stars,28,1992,20,19,1566,17.4,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
267,Kumi Yokoyama\54c9617f,jp JPN,FWMF,Spirit,27,1993,12,5,297,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
268,Gunnhildur Yrsa Jónsdóttir\7115d595,is ISL,MF,Pride,32,1988,24,24,2064,22.9,1,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches
269,McCall Zerboni\19ade833,us USA,MF,Gotham FC,34,1986,20,18,1509,16.8,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches#
